exp,Sub,source,grouping,condition,controlled_sdi
2,298043,pred,SameSwitch,Switch,0.0992927247713186
2,372056,Reproduction,current_uncertainty,HighUncertainty,0.4408115658730406
2,372056,Reproduction,current_uncertainty,LowUncertainty,0.1733062080536909
2,372056,Reproduction,SameSwitch,Repeat,0.3142470786220277
2,372056,Reproduction,SameSwitch,Switch,0.3252725508695784
2,372056,pred,current_uncertainty,HighUncertainty,0.2600927758196542
2,372056,pred,current_uncertainty,LowUncertainty,0.2068618963127541
2,372056,pred,SameSwitch,Repeat,0.2421192209084552
2,372056,pred,SameSwitch,Switch,0.2260037655990054
2,469417,Reproduction,current_uncertainty,HighUncertainty,0.1207923447968048
2,469417,Reproduction,current_uncertainty,LowUncertainty,0.1641950220961129
2,469417,Reproduction,SameSwitch,Repeat,0.1401371762870046
2,469417,Reproduction,SameSwitch,Switch,0.1339108339828524
2,469417,pred,current_uncertainty,HighUncertainty,0.1396194142064933
2,469417,pred,current_uncertainty,LowUncertainty,0.1288644095978426
2,469417,pred,SameSwitch,Repeat,0.1355630130653191
2,469417,pred,SameSwitch,Switch,0.1016149835529896
2,551900,Reproduction,current_uncertainty,HighUncertainty,0.0597621793060814
2,551900,Reproduction,current_uncertainty,LowUncertainty,0.0863508392411818
2,551900,Reproduction,SameSwitch,Repeat,0.088119964559523
2,551900,Reproduction,SameSwitch,Switch,0.0506286414807862
2,551900,pred,current_uncertainty,HighUncertainty,0.0946122473765054
2,551900,pred,current_uncertainty,LowUncertainty,0.0745252319257207
2,551900,pred,SameSwitch,Repeat,0.0826622542664034
2,551900,pred,SameSwitch,Switch,0.0765025517668326
2,555268,Reproduction,current_uncertainty,HighUncertainty,0.0840593207744161
2,555268,Reproduction,current_uncertainty,LowUncertainty,0.0171644695191534
2,555268,Reproduction,SameSwitch,Repeat,0.0797644362998324
2,555268,Reproduction,SameSwitch,Switch,0.0516317968259329
2,555268,pred,current_uncertainty,HighUncertainty,0.0842470146947282
2,555268,pred,current_uncertainty,LowUncertainty,0.0753619603548137
2,555268,pred,SameSwitch,Repeat,0.0885439906912575
2,555268,pred,SameSwitch,Switch,0.0912232346615898
2,611856,Reproduction,current_uncertainty,HighUncertainty,0.0707036103385841
2,611856,Reproduction,current_uncertainty,LowUncertainty,0.0246564079970209
2,611856,Reproduction,SameSwitch,Repeat,0.1214363673240946
2,611856,Reproduction,SameSwitch,Switch,-0.0167342569364048
2,611856,pred,current_uncertainty,HighUncertainty,0.0918172034983789
2,611856,pred,current_uncertainty,LowUncertainty,0.0476101617266672
2,611856,pred,SameSwitch,Repeat,0.0739456959962676
2,611856,pred,SameSwitch,Switch,0.0572058992978363
2,624708,Reproduction,current_uncertainty,HighUncertainty,0.221965122009455
2,624708,Reproduction,current_uncertainty,LowUncertainty,0.2212946557526001
2,624708,Reproduction,SameSwitch,Repeat,0.288789241445309
2,624708,Reproduction,SameSwitch,Switch,0.1569443734649721
2,624708,pred,current_uncertainty,HighUncertainty,0.1993346720945786
2,624708,pred,current_uncertainty,LowUncertainty,0.203231282773574
2,624708,pred,SameSwitch,Repeat,0.1932483263636957
2,624708,pred,SameSwitch,Switch,0.2034626316773953
2,742322,Reproduction,current_uncertainty,HighUncertainty,0.168684563995052
2,742322,Reproduction,current_uncertainty,LowUncertainty,0.0891609861986464
2,742322,Reproduction,SameSwitch,Repeat,0.1497209112338069
2,742322,Reproduction,SameSwitch,Switch,0.112768810860266
2,742322,pred,current_uncertainty,HighUncertainty,0.1198604737331712
2,742322,pred,current_uncertainty,LowUncertainty,0.1131192536044845
2,742322,pred,SameSwitch,Repeat,0.1207193669277408
2,742322,pred,SameSwitch,Switch,0.1256411072857823
2,753780,Reproduction,current_uncertainty,HighUncertainty,0.0869021123158456
2,753780,Reproduction,current_uncertainty,LowUncertainty,0.1710831844511042
2,753780,Reproduction,SameSwitch,Repeat,0.097566089802789
