Scale_setup.started,Scale_setup.stopped,participant,expid,session,sex,age,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,screen_scale_keys.started,screen_scale_keys.stopped,X Scale,Y Scale,rectangel_keys.started,rectangel_keys.stopped,Intro.started,Intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,block.started,Block_id,block.stopped,Block_resp_2.keys,Block_resp_2.rt,Block_resp_2.duration,ITI.started,ITI.stopped,Mask_2.started,Mask_2.stopped,M2.started,direction,M2.stopped,Cue.started,Cue.stopped,Response.started,Response.stopped,keyDuration,Feedback_Time.started,FeedbackID_T,Feedback_Time.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,TimeDur,Coherence1,TrialType
,,S07,184189,001,Male,27,2025-05-21_03h48.45.882,Serial_Dependence_U,2023.2.3,Win32,60.24096386,67d7d3d51a5476f5196bab78,682cd3dfea4e15896da7c0a6,682d84aee36e76003a321413,,,,,,,,,,,,497.4448,1,497.445,,,,499.7937,500.2929,499.2773,499.7936,498.4606,334,499.2772,500.2929,500.7928,500.793,502.7094,1398.9,502.7097,5,503.7084,1,12,42,25,1,0.8,0.7,Time
,,S07,184189,001,Male,27,2025-05-21_03h48.45.882,Serial_Dependence_U,2023.2.3,Win32,60.24096386,67d7d3d51a5476f5196bab78,682cd3dfea4e15896da7c0a6,682d84aee36e76003a321413,,,,,,,,,,,,503.7091,1,503.7092,,,,506.8581,507.3575,506.3416,506.858,504.7253,297,506.3415,507.3575,507.8574,507.8574,509.3069,1033.5,509.3071,1,510.3064,1,13,43,4,1,1.6,0.3,Time
,,S07,184189,001,Male,27,2025-05-21_03h48.45.882,Serial_Dependence_U,2023.2.3,Win32,60.24096386,67d7d3d51a5476f5196bab78,682cd3dfea4e15896da7c0a6,682d84aee36e76003a321413,,,,,,,,,,,,510.3069,1,510.3072,,,,512.8561,513.3555,512.3397,512.856,511.3238,5,512.3397,513.3556,513.8553,513.8554,516.0216,1738.4,516.0218,5,517.0217,1,14,44,1,1,1,0.3,Time
,,S07,184189,001,Male,27,2025-05-21_03h48.45.882,Serial_Dependence_U,2023.2.3,Win32,60.24096386,67d7d3d51a5476f5196bab78,682cd3dfea4e15896da7c0a6,682d84aee36e76003a321413,,,,,,,,,,,,517.0226,1,517.0231,,,,519.3547,519.8576,518.8418,519.3546,518.0384,54,518.8417,519.8576,520.354,520.3542,522.5201,1757.9,522.5203,5,523.5224,1,15,45,20,1,0.8,0.3,Time
,,S07,184189,001,Male,27,2025-05-21_03h48.45.882,Serial_Dependence_U,2023.2.3,Win32,60.24096386,67d7d3d51a5476f5196bab78,682cd3dfea4e15896da7c0a6,682d84aee36e76003a321413,,,,,,,,,,,,523.5229,1,523.523,,,,526.469,526.9681,525.9527,526.4689,524.5363,119,525.9526,526.9681,527.4718,527.4719,530.7553,2059.6,530.7554,5,531.7499,1,16,46,28,1,1.4,0.7,Time
,,S07,184189,001,Male,27,2025-05-21_03h48.45.882,Serial_Dependence_U,2023.2.3,Win32,60.24096386,67d7d3d51a5476f5196bab78,682cd3dfea4e15896da7c0a6,682d84aee36e76003a321413,,,,,,,,,,,,531.7508,1,531.751,,,,534.7039,535.1985,534.1875,534.7039,532.7666,59,534.1873,535.1985,535.6986,535.6988,538.1651,1258.5,538.1654,2,539.1646,1,17,47,18,1,1.4,0.7,Time
,,S07,184189,001,Male,27,2025-05-21_03h48.45.882,Serial_Dependence_U,2023.2.3,Win32,60.24096386,67d7d3d51a5476f5196bab78,682cd3dfea4e15896da7c0a6,682d84aee36e76003a321413,,,,,,,,,,,,539.1654,1,539.1655,,,,542.3137,542.8128,541.7977,542.3133,540.1815,136,541.7975,542.8128,543.3132,543.3133,544.863,1254.8,544.8634,2,545.8648,1,18,48,24,1,1.6,0.3,Time
,,S07,184189,001,Male,27,2025-05-21_03h48.45.882,Serial_Dependence_U,2023.2.3,Win32,60.24096386,67d7d3d51a5476f5196bab78,682cd3dfea4e15896da7c0a6,682d84aee36e76003a321413,,,,,,,,,,,,545.8652,1,545.8653,,,,548.8122,549.3111,548.2962,548.8121,546.8792,245,548.296,549.3113,549.8111,549.8112,551.9982,1911.1,551.9984,5,552.9932,1,19,49,13,1,1.4,0.3,Time
,,S07,184189,001,Male,27,2025-05-21_03h48.45.882,Serial_Dependence_U,2023.2.3,Win32,60.24096386,67d7d3d51a5476f5196bab78,682cd3dfea4e15896da7c0a6,682d84aee36e76003a321413,,,,,,,,,,,,552.9942,1,552.9943,,,,556.1431,556.642,555.6266,556.143,554.0135,32,555.6265,556.642,557.1457,557.1458,559.0295,1806.5,559.0298,4,560.0283,1,20,50,19,1,1.6,0.7,Time
,,S07,184189,001,Male,27,2025-05-21_03h48.45.882,Serial_Dependence_U,2023.2.3,Win32,60.24096386,67d7d3d51a5476f5196bab78,682cd3dfea4e15896da7c0a6,682d84aee36e76003a321413,,,,,,,,,,,,560.0289,1,560.0291,,,,562.9745,563.4734,562.4578,562.9742,561.0412,191,562.4577,563.4735,563.9732,563.9733,566.8104,1987.2,566.8106,5,567.8056,1,21,51,8,1,1.4,0.7,Time
,,S07,184189,001,Male,27,2025-05-21_03h48.45.882,Serial_Dependence_U,2023.2.3,Win32,60.24096386,67d7d3d51a5476f5196bab78,682cd3dfea4e15896da7c0a6,682d84aee36e76003a321413,,,,,,,,,,,,567.8064,1,567.8069,,,,570.5553,571.0546,570.0385,570.5551,568.8221,285,570.0383,571.0546,571.5544,571.5545,573.7417,1549.8,573.742,4,574.7365,1,22,52,22,1,1.2,0.3,Time
